Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,593115,12276,605391
2002,11,591251,14496,605747
2002,12,669193,15449,684642
2003,1,587923,15600,603523
2003,2,604189,17866,622055
2003,3,739540,18532,758072
2003,4,644320,17052,661372
2003,5,595655,10342,605997
2003,6,603777,11897,615674
2003,7,654165,14043,668208
2003,8,599368,11995,611363
2003,9,502085,8791,510876
2003,10,615354,11383,626737
2003,11,619897,15682,635579
2003,12,672249,14706,686955
2004,1,599482,14424,613906
2004,2,688526,17314,705840
2004,3,825890,18246,844136
2004,4,742308,16043,758351
2004,5,677892,10319,688211
2004,6,695650,10784,706434
2004,7,723526,13949,737475
2004,8,634925,10945,645870
2004,9,492727,8827,501554
2004,10,676086,12049,688135
2004,11,706191,14537,720728
2004,12,757084,14334,771418
2005,1,711289,14224,725513
2005,2,758465,16163,774628
2005,3,951156,20643,971799
2005,4,796414,16098,812512
2005,5,765205,11303,776508
2005,6,772386,11607,783993
2005,7,804312,14260,818572
2005,8,696954,11834,708788
2005,9,618455,10690,629145
2005,10,696135,14885,711020
2005,11,747806,16819,764625
2005,12,766087,17810,783897
2006,1,731048,18223,749271
2006,2,742097,19796,761893
2006,3,919356,39514,958870
2006,4,811842,20465,832307
2006,5,746795,12874,759669
2006,6,749692,11646,761338
2006,7,752881,15332,768213
2006,8,677483,12007,689490
2006,9,592192,13198,605390
2006,10,710655,11906,722561
2006,11,760896,17817,778713
2006,12,793453,18749,812202
2007,1,723533,17730,741263
2007,2,743751,21102,764853
2007,3,945986,24756,970742
2007,4,811556,20756,832312
2007,5,775779,10722,786501
2007,6,786844,9380,796224
2007,7,788151,10406,798557
2007,8,743887,9507,753394
2007,9,596881,8091,604972
2007,10,719439,10649,730088
2007,11,736132,17419,753551
2007,12,757963,18288,776251
2008,1,721751,19202,740953
2008,2,766417,21419,787836
2008,3,922435,25282,947717
2008,4,809971,21744,831715
2008,5,749988,11757,761745
2008,6,739789,9672,749461
2008,7,750189,10732,760921
2008,8,671020,10885,681905
2008,9,524547,8118,532665
2008,10,680500,11047,691547
2008,11,627802,15844,643646
2008,12,706542,17614,724156
2009,1,626390,20058,646448
2009,2,665078,18969,684047
2009,3,818045,21295,839340
2009,4,743523,21030,764553
2009,5,658778,13072,671850
2009,6,660654,12236,672890
2009,7,706060,15560,721620
2009,8,653244,15862,669106
2009,9,528044,10560,538604
2009,10,645544,13554,659098
2009,11,624609,17092,641701
2009,12,685046,17903,702949
2010,1,609393,17932,627325
2010,2,620386,19701,640087
2010,3,818668,25367,844035
2010,4,704677,21550,726227
2010,5,645281,13538,658819
2010,6,653502,11914,665416
2010,7,681978,14444,696422
2010,8,644748,13922,658670
2010,9,538099,10559,548658
2010,10,662461,14374,676835
2010,11,645572,12639,658211
2010,12,677464,17758,695222
2011,1,603694,17371,621065
2011,2,612120,20281,632401
2011,3,825724,22550,848274
2011,4,711534,24064,735598
2011,5,670438,15959,686397
2011,6,666288,13420,679708
2011,7,696696,16244,712940
2011,8,628169,15373,643542
2011,9,542360,11956,554316
2011,10,642267,16064,658331
2011,11,657730,17738,675468
2011,12,688410,18944,707354
2012,1,607358,18578,625936
2012,2,652281,22475,674756
2012,3,825900,26567,852467
2012,4,688386,21894,710280
2012,5,657779,15661,673440
2012,6,663715,13860,677575
2012,7,691278,16469,707747
2012,8,650249,17915,668164
2012,9,540395,13483,553878
2012,10,642160,17643,659803
2012,11,662852,18406,681258
2012,12,688225,20684,708909
2013,1,626449,20977,647426
2013,2,656199,22934,679133
2013,3,863872,30570,894442
2013,4,674552,28277,702829
2013,5,678323,26818,705141
2013,6,661015,14158,675173
2013,7,673827,18032,691859
2013,8,629838,17273,647111
2013,9,520369,13568,533937
2013,10,638530,17125,655655
2013,11,637939,18367,656306
2013,12,734383,25132,759515
2014,1,629877,25510,655387
2014,2,644800,26844,671644
2014,3,859090,30794,889884
2014,4,740652,27732,768384
2014,5,694853,17942,712795
2014,6,668567,16406,684973
2014,7,699787,23150,722937
2014,8,641224,20561,661785
2014,9,546892,15859,562751
2014,10,662007,26356,688363
2014,11,666288,22993,689281
2014,12,752377,27209,779586
2015,1,684966,27386,712352
2015,2,691674,29247,720921
2015,3,911943,48564,960507
2015,4,778023,30637,808660
2015,5,737415,20515,757930
2015,6,715981,19340,735321
2015,7,746387,26339,772726
2015,8,683873,25727,709600
2015,9,604366,18293,622659
2015,10,715150,27785,742935
2015,11,729152,26382,755534
2015,12,787614,33989,821603
2016,1,712007,32898,744905
2016,2,721558,34658,756216
2016,3,925517,44059,969576
2016,4,759380,37073,796453
2016,5,742321,27174,769495
2016,6,708747,23480,732227
2016,7,718974,35257,754231
2016,8,647286,31604,678890
